Format Version,1.1,Take Name,Take 2014-10-13 02.41.46 PM,Capture Frame Rate,120.000000,Export Frame Rate,119.999992,Capture Start Time,2014-10-13 14:41:46:50,Total Frames,1285

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,index&middle-15,index&middle-15,index&middle-15,index&middle-16,index&middle-16,index&middle-16,index&middle-17,index&middle-17,index&middle-17,index&middle-11,index&middle-11,index&middle-11,index&middle-5,index&middle-5,index&middle-5,index&middle-9,index&middle-9,index&middle-9,index&middle-7,index&middle-7,index&middle-7,index&middle-4,index&middle-4,index&middle-4,index&middle-2,index&middle-2,index&middle-2,index&middle-3,index&middle-3,index&middle-3,index&middle-8,index&middle-8,index&middle-8,index&middle-1,index&middle-1,index&middle-1,index&middle-10,index&middle-10,index&middle-10,index&middle-13,index&middle-13,index&middle-13,index&middle-6,index&middle-6,index&middle-6,index&middle-18,index&middle-18,index&middle-18,index&middle-14,index&middle-14,index&middle-14,index&middle-12,index&middle-12,index&middle-12
,,"8392B20CF49E357151665DA40000000E","8392B20CF49E357151665DA40000000E","8392B20CF49E357151665DA40000000E","8392B20CF49E357151665DA40000000F","8392B20CF49E357151665DA40000000F","8392B20CF49E357151665DA40000000F","8392B20CF49E357151665DA400000010","8392B20CF49E357151665DA400000010","8392B20CF49E357151665DA400000010","8392B20CF49E357151665DA40000000A","8392B20CF49E357151665DA40000000A","8392B20CF49E357151665DA40000000A","8392B20CF49E357151665DA400000004","8392B20CF49E357151665DA400000004","8392B20CF49E357151665DA400000004","8392B20CF49E357151665DA400000008","8392B20CF49E357151665DA400000008","8392B20CF49E357151665DA400000008","8392B20CF49E357151665DA400000006","8392B20CF49E357151665DA400000006","8392B20CF49E357151665DA400000006","8392B20CF49E357151665DA400000003","8392B20CF49E357151665DA400000003","8392B20CF49E357151665DA400000003","8392B20CF49E357151665DA400000001","8392B20CF49E357151665DA400000001","8392B20CF49E357151665DA400000001","8392B20CF49E357151665DA400000002","8392B20CF49E357151665DA400000002","8392B20CF49E357151665DA400000002","8392B20CF49E357151665DA400000007","8392B20CF49E357151665DA400000007","8392B20CF49E357151665DA400000007","8392B20CF49E357151665DA400000000","8392B20CF49E357151665DA400000000","8392B20CF49E357151665DA400000000","8392B20CF49E357151665DA400000009","8392B20CF49E357151665DA400000009","8392B20CF49E357151665DA400000009","8392B20CF49E357151665DA40000000C","8392B20CF49E357151665DA40000000C","8392B20CF49E357151665DA40000000C","8392B20CF49E357151665DA400000005","8392B20CF49E357151665DA400000005","8392B20CF49E357151665DA400000005","8392B20CF49E357151665DA400000011","8392B20CF49E357151665DA400000011","8392B20CF49E357151665DA400000011","8392B20CF49E357151665DA40000000D","8392B20CF49E357151665DA40000000D","8392B20CF49E357151665DA40000000D","8392B20CF49E357151665DA40000000B","8392B20CF49E357151665DA40000000B","8392B20CF49E357151665DA40000000B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,5968.482800,0.253906,0.361195,-0.575256,0.239540,0.363261,-0.397820,0.053321,0.356394,-0.414499,-0.418697,0.170881,-0.222343,-0.308984,0.142481,-0.211987,-0.401351,0.255123,-0.241931,-0.229050,0.117941,-0.294092,-0.551408,0.244370,-0.277303,-0.474465,0.255483,-0.254657,-0.319434,0.232985,-0.228686,-0.237872,0.194697,-0.301139,-0.253120,0.209454,-0.266646,-0.236587,0.118622,-0.377841,-0.235647,0.179570,-0.366229,-0.560042,0.176296,-0.260526,-0.494270,0.177639,-0.234864,0.070200,0.361345,-0.592953,-0.250873,0.127879,-0.243009
1,5968.491134,0.253908,0.361195,-0.575260,0.239542,0.363262,-0.397826,0.053324,0.356389,-0.414510,-0.418684,0.170866,-0.222325,-0.308746,0.142113,-0.212303,-0.401482,0.255878,-0.241542,-0.229040,0.117932,-0.294072,-0.551386,0.244382,-0.277267,-0.474463,0.255480,-0.254634,-0.319422,0.232970,-0.228676,-0.237866,0.194685,-0.301129,-0.253114,0.209432,-0.266640,-0.236598,0.118598,-0.377843,-0.235657,0.179540,-0.366226,-0.560046,0.176277,-0.260525,-0.494415,0.177493,-0.234995,0.070206,0.361341,-0.592951,-0.250867,0.127863,-0.243002
2,5968.499467,0.253909,0.361195,-0.575261,0.239538,0.363268,-0.397823,0.053312,0.356385,-0.414528,-0.418696,0.170863,-0.222318,-0.308774,0.142101,-0.212297,-0.401370,0.255103,-0.241918,-0.229043,0.117931,-0.294054,-0.551393,0.244377,-0.277259,-0.474464,0.255468,-0.254629,-0.319422,0.232964,-0.228669,-0.237872,0.194686,-0.301121,-0.253128,0.209419,-0.266633,-0.236613,0.118595,-0.377830,-0.235668,0.179532,-0.366228,-0.560054,0.176283,-0.260505,-0.494372,0.177543,-0.234933,0.070191,0.361334,-0.592938,-0.250896,0.127830,-0.243008
3,5968.507800,0.253900,0.361194,-0.575257,0.239537,0.363259,-0.397825,0.053329,0.356399,-0.414498,-0.418714,0.170867,-0.222321,-0.308997,0.142451,-0.211969,-0.401341,0.255119,-0.241907,-0.229058,0.117927,-0.294053,-0.551433,0.244356,-0.277293,-0.474467,0.255486,-0.254625,-0.319445,0.232961,-0.228685,-0.237896,0.194675,-0.301130,-0.253139,0.209418,-0.266641,-0.236627,0.118591,-0.377812,-0.235682,0.179534,-0.366224,-0.560056,0.176289,-0.260504,-0.494356,0.177568,-0.234903,0.070213,0.361367,-0.592979,-0.250912,0.127845,-0.242993
4,5968.516134,0.253899,0.361201,-0.575260,0.239531,0.363254,-0.397828,0.053321,0.356406,-0.414486,-0.418729,0.170879,-0.222335,-0.308797,0.142141,-0.212304,-0.401358,0.255137,-0.241924,-0.229096,0.117937,-0.294084,-0.551450,0.244368,-0.277307,-0.474494,0.255497,-0.254649,-0.319285,0.233179,-0.228599,-0.237919,0.194684,-0.301152,-0.253154,0.209434,-0.266660,-0.236650,0.118598,-0.377824,-0.235702,0.179545,-0.366245,-0.560074,0.176289,-0.260509,-0.494361,0.177601,-0.234908,0.070192,0.361356,-0.592951,-0.251343,0.127811,-0.243458
5,5968.524467,0.253901,0.361197,-0.575260,0.239539,0.363257,-0.397835,0.053327,0.356402,-0.414487,-0.418725,0.170920,-0.222348,-0.309009,0.142512,-0.212011,-0.401374,0.255160,-0.241959,-0.229112,0.117947,-0.294128,-0.551446,0.244390,-0.277327,-0.474500,0.255514,-0.254686,-0.319469,0.232998,-0.228751,-0.237942,0.194703,-0.301211,-0.253168,0.209456,-0.266716,-0.236679,0.118604,-0.377879,-0.235715,0.179556,-0.366285,-0.560373,0.174753,-0.261391,-0.494353,0.177644,-0.234902,0.070205,0.361351,-0.592960,-0.251820,0.127369,-0.243995
