Format Version,1.1,Take Name,Take 2014-10-13 02.41.46 PM,Capture Frame Rate,120.000000,Export Frame Rate,119.999992,Capture Start Time,2014-10-13 14:41:46:50,Total Frames,1285

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,5968.532800,0.089762,0.008065,0.995931,-0.000147,0.154228,0.360543,0.495127,0.000864,0.070501,0.361304,-0.591775,0.001601,0.052919,0.356377,-0.414695,0.005181,0.239088,0.363281,-0.397682,0.000000,0.254404,0.361210,-0.576358,0.002341,0.253901,0.361197,-0.575260,0.239539,0.363257,-0.397835,0.053327,0.356402,-0.414487,0.070206,0.361352,-0.592961,-0.229112,0.117947,-0.294128,-0.309012,0.142516,-0.212006,-0.319469,0.232998,-0.228750,-0.401374,0.255160,-0.241958,-0.418725,0.170920,-0.222347,-0.474500,0.255514,-0.254685,-0.551446,0.244390,-0.277327,-0.559090,0.176760,-0.259323,-0.253167,0.209456,-0.266715,-0.237943,0.194702,-0.301210,-0.235715,0.179556,-0.366284,-0.236678,0.118604,-0.377879,-0.251825,0.127358,-0.244006,-0.494355,0.177642,-0.234903
7,5968.541134,0.089766,0.008149,0.995930,-0.000067,0.154230,0.360567,0.495138,0.000866,0.070504,0.361357,-0.591786,0.005480,0.052920,0.356401,-0.414707,0.002934,0.239089,0.363274,-0.397691,0.000000,0.254407,0.361234,-0.576368,0.003163,0.253905,0.361198,-0.575262,0.239538,0.363263,-0.397835,0.053324,0.356396,-0.414508,0.070200,0.361341,-0.592954,-0.229111,0.117972,-0.294164,-0.308801,0.142182,-0.212380,-0.319475,0.233006,-0.228802,-0.401386,0.255160,-0.242018,-0.418723,0.170941,-0.222379,-0.474505,0.255528,-0.254718,-0.551433,0.244418,-0.277327,-0.557996,0.178674,-0.257774,-0.253174,0.209460,-0.266777,-0.237874,0.194758,-0.301258,-0.235750,0.179554,-0.366367,-0.236699,0.118614,-0.377922,-0.251737,0.127915,-0.243489,-0.494385,0.177634,-0.234955
8,5968.549467,0.089783,0.008053,0.995929,-0.000260,0.154226,0.360549,0.495156,0.000863,0.070503,0.361287,-0.591806,0.015855,0.052914,0.356364,-0.414727,0.010275,0.239081,0.363309,-0.397706,0.000000,0.254410,0.361255,-0.576377,0.001668,0.253907,0.361195,-0.575260,0.239536,0.363262,-0.397834,0.053321,0.356398,-0.414507,0.070203,0.361345,-0.592961,-0.229116,0.117972,-0.294194,-0.308813,0.142181,-0.212424,-0.319468,0.233005,-0.228846,-0.401523,0.255911,-0.241687,-0.418725,0.170940,-0.222415,-0.474505,0.255532,-0.254759,-0.551464,0.244397,-0.277388,-0.558008,0.178667,-0.257799,-0.253185,0.209449,-0.266839,-0.237882,0.194763,-0.301303,-0.235755,0.179562,-0.366420,-0.236717,0.118610,-0.377967,-0.251756,0.127910,-0.243534,-0.494353,0.177661,-0.234943
9,5968.557800,0.089784,0.008211,0.995927,-0.000095,0.154231,0.360572,0.495150,0.000864,0.070508,0.361368,-0.591801,0.012529,0.052918,0.356390,-0.414723,0.008781,0.239086,0.363273,-0.397700,0.000000,0.254410,0.361255,-0.576377,0.001668,0.253903,0.361196,-0.575258,0.239538,0.363261,-0.397821,0.053330,0.356405,-0.414487,0.070203,0.361350,-0.592953,-0.229133,0.117962,-0.294200,-0.308814,0.142194,-0.212413,-0.319483,0.233000,-0.228860,-0.401539,0.255965,-0.241680,-0.418719,0.170953,-0.222406,-0.474510,0.255535,-0.254765,-0.551491,0.244380,-0.277425,-0.557999,0.178684,-0.257794,-0.253192,0.209443,-0.266855,-0.237895,0.194745,-0.301326,-0.235780,0.179541,-0.366442,-0.236723,0.118600,-0.377967,-0.251735,0.127918,-0.243518,-0.494312,0.177721,-0.234909
10,5968.566134,0.089770,0.008097,0.995930,-0.000037,0.154233,0.360565,0.495128,0.000863,0.070507,0.361352,-0.591777,0.002509,0.052922,0.356414,-0.414698,0.002590,0.239091,0.363276,-0.397681,0.000000,0.254410,0.361217,-0.576358,0.003020,0.253905,0.361198,-0.575260,0.239535,0.363258,-0.397826,0.053326,0.356401,-0.414489,0.070201,0.361363,-0.592968,-0.229147,0.117953,-0.294201,-0.308847,0.142171,-0.212427,-0.319496,0.232981,-0.228868,-0.401561,0.255953,-0.241691,-0.418754,0.170930,-0.222426,-0.474526,0.255525,-0.254778,-0.551505,0.244376,-0.277439,-0.558011,0.178686,-0.257805,-0.253211,0.209421,-0.266849,-0.237910,0.194733,-0.301321,-0.235793,0.179529,-0.366445,-0.236730,0.118593,-0.377964,-0.251753,0.127907,-0.243509,-0.494349,0.177691,-0.234936
11,5968.574467,0.089761,0.008110,0.995930,-0.000038,0.154235,0.360548,0.495126,0.000868,0.070508,0.361337,-0.591773,0.000000,0.052925,0.356394,-0.414693,0.006557,0.239095,0.363257,-0.397680,0.003532,0.254411,0.361203,-0.576357,0.009417,0.253904,0.361195,-0.575256,0.239537,0.363264,-0.397824,0.053329,0.356400,-0.414490,0.070195,0.361353,-0.592953,-0.229153,0.117951,-0.294158,-0.308857,0.142168,-0.212401,-0.319514,0.232974,-0.228857,-0.401558,0.255949,-0.241674,-0.418763,0.170939,-0.222412,-0.474531,0.255523,-0.254770,-0.551512,0.244376,-0.277445,-0.558014,0.178692,-0.257800,-0.253214,0.209419,-0.266832,-0.237921,0.194722,-0.301295,-0.235794,0.179524,-0.366421,-0.236725,0.118590,-0.377934,-0.251757,0.127909,-0.243472,-0.494276,0.177783,-0.234847
12,5968.582800,0.089752,0.008112,0.995931,-0.000330,0.154238,0.360585,0.495138,0.000866,0.070509,0.361321,-0.591784,0.002421,0.052932,0.356377,-0.414704,0.006141,0.239098,0.363349,-0.397694,0.000000,0.254412,0.361295,-0.576371,0.000378,0.253904,0.361195,-0.575261,0.239538,0.363261,-0.397830,0.053328,0.356387,-0.414512,0.070189,0.361335,-0.592939,-0.229164,0.117935,-0.294124,-0.308901,0.142156,-0.212385,-0.319536,0.232972,-0.228820,-0.401596,0.255946,-0.241652,-0.418787,0.170926,-0.222406,-0.474552,0.255523,-0.254759,-0.551631,0.243926,-0.277899,-0.558048,0.178679,-0.257821,-0.253227,0.209420,-0.266786,-0.237924,0.194725,-0.301243,-0.235787,0.179520,-0.366368,-0.236725,0.118588,-0.377892,-0.251460,0.127803,-0.243547,-0.494408,0.177665,-0.234961
13,5968.591134,0.089737,0.008244,0.995931,-0.000148,0.154235,0.360567,0.495155,0.000861,0.070503,0.361360,-0.591798,0.023625,0.052930,0.356369,-0.414719,0.020255,0.239099,0.363272,-0.397713,0.007241,0.254399,0.361245,-0.576401,0.000000,0.253902,0.361195,-0.575259,0.239535,0.363260,-0.397836,0.053315,0.356384,-0.414521,0.070185,0.361333,-0.592932,-0.229168,0.117959,-0.294071,-0.309135,0.142508,-0.212011,-0.319553,0.232983,-0.228752,-0.401609,0.255949,-0.241615,-0.418808,0.170915,-0.222385,-0.474572,0.255516,-0.254734,-0.551526,0.244390,-0.277411,-0.558059,0.178681,-0.257797,-0.253241,0.209428,-0.266704,-0.237943,0.194724,-0.301162,-0.235776,0.179529,-0.366286,-0.236723,0.118601,-0.377836,-0.252084,0.127213,-0.244129,-0.494516,0.177582,-0.235031
14,5968.599467,0.089748,0.008156,0.995931,-0.000165,0.154225,0.360559,0.495167,0.000860,0.070495,0.361332,-0.591812,0.035454,0.052926,0.356396,-0.414711,0.009824,0.239096,0.363266,-0.397699,0.003549,0.254410,0.361225,-0.576376,0.000000,0.253903,0.361196,-0.575259,0.239531,0.363259,-0.397830,0.053325,0.356401,-0.414500,0.070199,0.361350,-0.592953,-0.229175,0.117958,-0.294031,-0.309141,0.142501,-0.211970,-0.319567,0.232991,-0.228690,-0.401626,0.255954,-0.241584,-0.418817,0.170917,-0.222350,-0.474581,0.255520,-0.254701,-0.551531,0.244390,-0.277393,-0.558054,0.178686,-0.257777,-0.253258,0.209428,-0.266628,-0.238016,0.194683,-0.301115,-0.235676,0.179736,-0.366310,-0.236725,0.118611,-0.377801,-0.251991,0.127314,-0.243967,-0.494417,0.177688,-0.234906
15,5968.607800,0.089757,0.008146,0.995930,-0.000058,0.154235,0.360560,0.495144,0.000862,0.070507,0.361352,-0.591790,0.011839,0.052926,0.356396,-0.414711,0.009824,0.239096,0.363266,-0.397699,0.003549,0.254410,0.361225,-0.576376,0.000000,0.253901,0.361196,-0.575256,0.239539,0.363255,-0.397823,0.053326,0.356393,-0.414495,0.070191,0.361355,-0.592953,-0.229184,0.117947,-0.294001,-0.309151,0.142487,-0.211964,-0.319393,0.233176,-0.228572,-0.401637,0.255935,-0.241566,-0.418830,0.170908,-0.222342,-0.474587,0.255508,-0.254685,-0.551528,0.244399,-0.277368,-0.558059,0.178671,-0.257764,-0.253257,0.209426,-0.266603,-0.238018,0.194678,-0.301094,-0.235681,0.179732,-0.366279,-0.236723,0.118612,-0.377776,-0.251884,0.127411,-0.243836,-0.494458,0.177647,-0.234918
